ClinicId,HPI-O,ClinicName,DrId,providerNo,prescriberNo,ahpraNo,HPI-I,IHI,givenName,familyName,streetNo,streetName,shortStreetType,suburb,state,postcode,longitude,latitude,country,mobile,homePhone,businessPhone,email,birthdate,sex,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race
123456,8003629903426795,STEPHENS ROAD Medical Centre,,,,,,,,,164,STEPHENS,RD,MOUNT JOHNS,NT,0874,133.89570128,-23.72336025,AUS,0491570157,,0770103981,StephensRoadMedicalCentre@his4ehr.com,,,,,,,,,,,
123456,,,165803,3340205A,3340202,MED9078871402,8003619903071246,8003609902676426,RONALDRS,FRANCISUV,149,DIXON,RD,BRAITLING,NT,0870,133.86080686,-23.67295428,AUS,0491570158,,0770106483,ronaldrs.francisuv@his4ehr.com,1946-10-10,M,,,,169,78.0,,,,
123456,,,165810,3453853B,3453850,MED9399377072,8003619903071352,8003609979197090,DEBORAHAB,LARSENWX,267,ILKARI,CL,YULARA,NT,0872,130.97006579,-25.20688424,AUS,0491570158,,0770103791,deborahab.larsenwx@his4ehr.com,2005-09-25,F,,,,163,64.4,,,,
123456,,,165817,6803880X,6803889,MED9376714577,8003619903071469,8003609987519707,GAILQR,WALLACEIJ,195,STEPHENS,RD,MOUNT JOHNS,NT,0874,133.90721201,-23.7185515,AUS,0491570157,,0770106305,gailqr.wallaceij@his4ehr.com,2016-09-22,F,,,,117,30.0,,,,
123456,,,,,,,,8003609936052230,CHARLESRS,DAHLIJ,3977,SANDOVER,HWY,SANDOVER,NT,0872,136.32987498,-21.70455131,AUS,0491570156,0755505666,0770101256,charlesrs.dahlij@his4ehr.com,1943-10-11,M,53458632271,,,183,90.1,102,115,M,4
123456,,,,,,,,8003609927336253,JOANNAHI,CAMPBELLST,60,BOKHARA,ST,LARAPINTA,NT,0875,133.8353995,-23.69425304,AUS,0491570157,0755502600,0770101183,joannahi.campbellst@his4ehr.com,1974-10-03,F,55890179034,,,163,86.1,89,145,S,4
123456,,,,,,,,8003609984546539,JOSEKL,DREISEJK,726B,TANAMI,RD,BURT PLAIN,NT,0872,133.78664186,-23.52045148,AUS,0491570157,0755508205,0770104756,josekl.dreisejk@his4ehr.com,1972-10-03,M,53476024122,,,170,98.3,94,139,M,4
123456,,,165825,655514YA,6555144,MED9302112477,8003619903071584,8003609926965904,JACQUELYNGH,LANCHESTERGH,2607,KINTORE,RD,MOUNT ZEIL,NT,0872,132.58570217,-23.25501734,AUS,0491570156,,0770109452,jacquelyngh.lanchestergh@his4ehr.com,1941-10-11,F,,,,159,72.6,,,,
123456,,,,,,,,8003609940190810,BETHDE,GOSNEYPQ,15,CUMMINGS,ST,BRAITLING,NT,0870,133.86949832,-23.68285474,AUS,0491570110,0755502919,0770102920,bethde.gosneypq@his4ehr.com,1945-10-10,F,57440457073,,,155,55.7,59,71,S,4
123456,,,,,,,,8003609990804567,JACKUV,TANSINGQR,5,CHEWINGS,ST,EAST SIDE,NT,0870,133.88739857,-23.69323811,AUS,0491570158,0755501915,0770106665,jackuv.tansingqr@his4ehr.com,1949-10-09,M,53956737373,,,179,58.5,63,63,M,4
123456,,,,,,,,8003609956358582,TONIQR,HAYESLM,7,TJINTIRRTJINTIRRPA,ST,KINTORE,NT,0872,129.38980663,-23.27718432,AUS,0491570110,0755509651,0770108454,toniqr.hayeslm@his4ehr.com,1994-09-28,F,57616127343,SSS63633C,GOL,165,61.4,71,105,W,4
123456,,,,,,,,8003609955030943,HEIDIIJ,KETTYLEJK,9,PALMER,ST,TI TREE,NT,0872,133.41799543,-22.12965237,AUS,0491570157,0755507781,0770105404,heidiij.kettylejk@his4ehr.com,2014-09-23,F,54671896475,,,120,29.4,49,74,S,4
123456,,,,,,,,8003609961840103,CAROLINEXY,CLIFTONBC,13,HEAVITREE,CT,MOUNT JOHNS,NT,0874,133.87925493,-23.72151188,AUS,0491570110,0755502633,0770105835,carolinexy.cliftonbc@his4ehr.com,1992-09-28,F,54118004751,,,168,63.3,74,104,M,4
123456,,,,,,,,8003609922227143,ELEANORRS,CASSELFG,3,BUCK,RD,ILPARPA,NT,0873,133.81219565,-23.75526981,AUS,0491570110,0755502918,0770105639,eleanorrs.casselfg@his4ehr.com,1981-10-01,F,55948525174,,,156,83.0,85,131,M,4
123456,,,,,,,,8003609957539867,DAVIDRS,PEARSONYZ,5,KEMPEANA,CR,ARALUEN,NT,0870,133.85407359,-23.70773474,AUS,0491570156,0755500369,0770104680,davidrs.pearsonyz@his4ehr.com,1978-10-02,M,52781985165,,,178,75.5,79,88,M,4
123456,,,165833,805031XT,8050319,MED9251298318,8003619903071691,8003609968276152,ROBINEF,CHEUNGFG,11,CHALMERS,ST,GILLEN,NT,0870,133.85752952,-23.71089545,AUS,0491570110,,0770108533,robinef.cheungfg@his4ehr.com,1948-10-09,M,,,,179,90.9,,,,
123456,,,,,,,,8003609997843444,LAURENFG,KICKETTKL,11,MISTLETOE,ST,SADADEEN,NT,0870,133.89860333,-23.69689918,AUS,0491570159,0755501330,0770101682,laurenfg.kickettkl@his4ehr.com,2008-09-24,F,56524069343,,,152,48.9,66,96,S,4
123456,,,,,,,,8003609912207121,LARRYDE,TAORMINAEF,3,ITATARA,RD,TITJIKALA,NT,0872,134.07671506,-24.6760594,AUS,0491570110,0755508701,0770106061,larryde.taorminaef@his4ehr.com,1951-10-09,M,51830828162,,,178,82.7,88,88,D,4
