PID,UR,Alias,Merged,Deleted,familyName,givenName,birthdate,sex,streetNo,streetName,shortStreetType,suburb,state,postcode,country,sa1,meshblock,longitude,latitude,mobile,homePhone,businessPhone,email,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race,deathDate
500000,300000,,,,GANGEMIBC,JUNEST,1947-11-04,F,55,BRIDGE,ST,MUIRHEAD,NT,0810,AUS,70102102116,73852000000,130.89555651,-12.35388107,0491570159,0755500547,0770103332,junest.gangemibc@his4ehr.com,50913010733,,,153,82.4,85,114,M,4,
500001,300022,,,,EL ZAYATMN,ELVABC,1964-10-30,F,213,ROGER VALE,DR,CONNELLAN,NT,0873,AUS,70201105102,70000630000,133.92254957,-23.79511586,0491570110,0755505666,0770105352,elvabc.el zayatmn@his4ehr.com,56703288911,,,169,86.9,95,145,M,4,
500002,300043,,,,DOBIEHI,AARONXY,1950-11-03,M,61,BLOODWOOD,ST,ZUCCOLI,NT,0832,AUS,70104104211,73807000000,131.00356733,-12.51606551,0491570157,0755508538,0770105481,aaronxy.dobiehi@his4ehr.com,58970437141,,,181,76.2,83,86,M,4,
500003,300065,,,,GEBLINO,ANDREWKL,1954-11-02,M,4,BATTEN,RD,MARRARA,NT,0812,AUS,70102102208,70009640000,130.91416606,-12.40868015,0491570156,0755500182,0770103843,andrewkl.geblino@his4ehr.com,59464066431,,,179,65.2,69,61,W,4,
500004,300086,,,,DENMANQR,MARILYNWX,1964-10-30,F,17,FLOCKHART,DR,MARLOW LAGOON,NT,0830,AUS,70104103816,70025190000,130.96361377,-12.49932,0491570110,0755508625,0770107594,marilynwx.denmanqr@his4ehr.com,59966705111,,,167,80.0,87,100,M,4,
500005,300107,,,,WALKER-MAYERVW,KENNETHAB,1948-11-03,M,48,PEAFLOWER,ST,ZUCCOLI,NT,0832,AUS,70104104211,73807000000,131.00424242,-12.51017904,0491570110,0755502167,0770107758,kennethab.walker-mayervw@his4ehr.com,57292759055,,,169,97.7,100,101,M,4,
500006,300128,,,,MCMULLENDE,MARTIFG,1950-11-03,F,137,TROWER,RD,ALAWA,NT,0810,AUS,70102101003,70005190000,130.87158371,-12.38317012,0491570156,0755501782,0770101418,martifg.mcmullende@his4ehr.com,52164038933,,,144,71.1,69,101,D,4,
500007,300149,,,,ANAXAGOROUEF,TAMERAKL,1966-10-30,F,12,SCHULTZE,ST,LARRAKEYAH,NT,0820,AUS,70101100502,70008530000,130.82921261,-12.45423051,0491570158,0755506166,0770102117,tamerakl.anaxagorouef@his4ehr.com,57133722673,,,158,63.6,65,82,M,4,
500008,300170,,,,CORREIAKL,JONATHANMN,1951-11-03,M,30,BUGLE,CT,HUMPTY DOO,NT,0836,AUS,70103103201,70020680000,131.12317828,-12.59783513,0491570157,0755500805,0770109799,jonathanmn.correiakl@his4ehr.com,57104068112,,,181,91.8,100,107,S,4,
500009,300191,,,,JOHNSONBC,STEVENXY,1973-10-28,M,8,APETYARR,ST,ALPURRURULAM,NT,4825,AUS,70202105507,70002980000,137.84848877,-20.98638704,0491570157,0755508452,0770109716,stevenxy.johnsonbc@his4ehr.com,42101916631,,,184,88.1,91,90,S,4,
500010,300212,,,,LAWTONNO,JOHNST,1940-11-05,M,8,FELDEGG,AV,NHULUNBUY,NT,0880,AUS,70204106402,70021940000,136.77164044,-12.19255947,0491570158,0755508762,0770107937,johnst.lawtonno@his4ehr.com,56610876135,,,167,85.5,88,98,M,4,
500011,300234,,,,FRANKLINAB,MARYHI,1951-11-03,F,9,JUBILEE,ST,TENNANT CREEK,NT,0860,AUS,70202105613,70031700000,134.19306612,-19.65645036,0491570158,0755509406,0770108487,maryhi.franklinab@his4ehr.com,51233031245,,,156,57.9,60,76,S,4,
500012,300256,,,,KOSSERISVW,MARYBC,1949-11-03,F,9,FRANKLYN,ST,NHULUNBUY,NT,0880,AUS,70204106413,70036620000,136.78740819,-12.18263268,0491570157,0755503076,0770109494,marybc.kosserisvw@his4ehr.com,57528513622,,,154,65.7,68,88,S,4,
500013,300278,,,,BISHOPMN,GAILQR,1940-11-05,F,49,DANIMILA,TCE,LYONS,NT,0810,AUS,70102102112,70009066100,130.89030125,-12.36513261,0491570110,0755500690,0770106656,gailqr.bishopmn@his4ehr.com,58105311623,,,155,73.3,78,87,M,4,
500014,300300,,,,EL-ZAHEDHI,ROBERTFG,1946-11-04,M,9,DINAH,CT,STUART PARK,NT,0820,AUS,70101100811,70012530000,130.85057239,-12.45051088,0491570156,0755505154,0770100707,robertfg.el-zahedhi@his4ehr.com,50094989473,,,179,70.2,77,89,S,4,
500015,300321,,,,TANTALOSBC,THOMASHI,1951-11-03,M,960,REDCLIFFE,RD,NOONAMAH,NT,0837,AUS,70103103507,70021160000,131.11674451,-12.66240945,0491570157,0755503127,0770101438,thomashi.tantalosbc@his4ehr.com,52804691131,,,181,85.8,93,104,M,4,
