PID,UR,AltUR,Alias,Merged,Deleted,familyName,givenName,birthdate,sex,streetNo,streetName,shortStreetType,suburb,state,postcode,country,sa1,meshblock,longitude,latitude,mobile,homePhone,businessPhone,email,medicareNo,dvaNo,dvaType,height,weight,waist,hips,married,race,deathDate
20000,10000,,,,,WALMSLEYHI,MALISAEF,2005-10-20,F,11,KAMPURARRPA,ST,KINTORE,NT,0872,AUS,70201105303,70030940000,129.39157864,-23.27840004,0491570157,0755508320,0770108988,malisaef.walmsleyhi@his4ehr.com,52452075022,,,155,59.7,69,99,S,4,
20001,10005,,,,,PITCHEREF,LEORAEF,1990-10-24,F,15,WANGALARA,ST,TIWI,NT,0810,AUS,70102102703,70013120000,130.8795241,-12.3662681,0491570110,0755508213,0770102233,leoraef.pitcheref@his4ehr.com,55098324871,,,168,75.3,87,122,S,4,
20002,10009,,,,,BICKLEYTU,MIKELM,1967-10-30,M,2,HENRY,ST,STUART PARK,NT,0820,AUS,70101100804,70012270000,130.84364804,-12.4469654,0491570110,0755502323,0770105880,mikelm.bickleytu@his4ehr.com,55557203073,,,174,76.2,76,75,M,4,
20003,10013,,,,,GRAYWX,JEFFREYLM,1952-11-02,M,1,COCOS,GR,DURACK,NT,0830,AUS,70104103804,70023280000,130.96736673,-12.46923226,0491570158,0755509932,0770106965,jeffreylm.graywx@his4ehr.com,54024150753,,,177,69.7,74,83,M,4,
20004,10018,,,,,LANEAB,DANIELLEYZ,2021-10-16,F,53,DE HAVILLAND,DR,ARALUEN,NT,0870,AUS,70201104811,70001650000,133.85977362,-23.70413591,0491570156,0755507054,0770107052,danielleyz.laneab@his4ehr.com,54690527211,,,88,12.8,45,65,S,4,
20005,10022,,,,,O'CONNORMN,LINDAST,1988-10-24,F,11690,STUART,HWY,BURT PLAIN,NT,0872,AUS,70201105201,70028300000,133.6258308,-23.0489447,0491570158,0755502989,0770106082,lindast.o'connormn@his4ehr.com,59993356774,,,169,76.3,88,79,S,4,
20006,10027,,,,,GRIMAPQ,PETERXY,1993-10-23,M,12,ATNYER,ST,ALPURRURULAM,NT,4825,AUS,70202105507,70002980000,137.84531733,-20.98489966,0491570159,0755509541,0770107706,peterxy.grimapq@his4ehr.com,43976992352,,,178,56.9,67,76,M,4,
20007,10031,,,,,FULLERMN,RONDE,1980-10-26,M,13,LLOYD,RD,HUMPTY DOO,NT,0836,AUS,70103103206,70019810000,131.09957687,-12.57542855,0491570158,0755507902,0770104474,ronde.fullermn@his4ehr.com,50168690563,,,178,81.4,86,102,S,4,
20008,10035,,,,,KNIGHTLM,RICHARDKL,1954-11-02,M,18,CALVERT,CR,JABIRU,NT,0886,AUS,70203105705,70018172000,132.83841945,-12.67242267,0491570158,0755508253,0770109151,richardkl.knightlm@his4ehr.com,59109590615,,,181,73.2,79,94,M,4,1961-11-30
20009,10040,,,,,TSOURVAKASCD,SAMMYUV,1957-11-01,M,8,BURROWS,ST,KILGARIFF,NT,0873,AUS,70201105111,70000604000,133.87678498,-23.77401682,0491570158,0755508766,0770103523,sammyuv.tsourvakascd@his4ehr.com,51664092951,,,172,79.9,81,120,M,4,
